State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9717268795605339	0.019067331538981602	6.395062206050638E-4	0.0	0.0	0.0	0.0026451059173573303	0.0	0.0	0.005921176762522163
2	0.001778435311358821	0.9865637989343801	0.0028081644875125296	0.0011586845444041226	3.681394858948216E-4	0.0	0.006455043205522737	9.255145375929778E-5	1.9893476857015884E-5	7.552891003105552E-4
3	0.0026972073264163233	0.11316950610807114	0.873712697132398	9.447362452525242E-4	2.612967551047279E-5	1.4963760440684284E-4	0.007046255642971243	2.8913694071083015E-4	1.7476286646561073E-4	0.0017899304577970883
4	0.0	0.010968190062352565	1.9834695561895808E-4	0.9734121471865165	0.00700917115622061	0.0012598067382374994	0.005872388014722978	9.711544723070687E-4	8.570964764796392E-6	3.002244492592555E-4
5	0.0	0.00747849765151597	3.5420416823141687E-6	0.015746282346407948	0.9420002157063962	0.02989619008631538	0.003957430885758296	5.7477050165313566E-5	1.2824747004619073E-4	7.321167617122292E-4
6	0.0	0.0	3.6413469243724817E-4	0.014266468438450735	0.1503439998615615	0.7556004968514779	0.012885298406677154	0.020432758427727772	0.04447027306339678	0.0016365702582708625
7	0.006893949572140488	0.17865047261402228	0.004845895190969331	0.01718993860363241	0.005190411273709104	0.0034676470899623313	0.6962014527195239	0.07966628549944339	0.00111376623710782	0.006780181199488998
8	0.0	0.006277081843544763	5.133212933553374E-4	0.007612920399330677	1.9738899518285824E-4	0.014909015479433905	0.19981050105650833	0.7629795260820958	0.006995548048876309	7.046968016719344E-4
9	0.0	0.001960119337785588	4.72457542665328E-4	2.428010349199934E-4	8.118576472342774E-4	0.05136192567813547	0.0038831415552752395	0.011349300622577056	0.8419696858240557	0.08794871075735125
10	0.06868728292880576	0.09091346969359025	0.006735959445279539	0.004520174705624572	0.004955391264500808	0.0	0.03065935012734873	0.0010276209565762654	0.10155790653465657	0.6909428443436174
